Model,OBQA,CSQA,ARC-E,ARC-C,BoolQ,GSM8K-M,Winogrande,HellaSwag,MMLU
llama3.1:8b,0.172,0.42342342342342343,0.5290404040404041,0.4325938566552901,0.6709480122324158,0.3866565579984837,0.5185477505919495,0.19348735311690898,0.28235633427067564
llama3.1:70b,0.79,0.6502866502866503,0.9217171717171717,0.8455631399317406,0.8223241590214068,0.8112206216830933,0.6479873717442778,0.6241784505078669,0.6497945057322085
llama3.2:3b,0.33,0.28746928746928746,0.3489057239057239,0.3225255972696246,0.44587155963302755,0.14480667172100076,0.48539857932123126,0.2566221868153754,0.2797606172038359
llama3.3:70b,0.764,0.642915642915643,0.9175084175084175,0.8353242320819113,0.8327217125382264,0.8271417740712661,0.6353591160220995,0.658832901812388,0.6521018097916216
qwen2.5:7b,0.516,0.4643734643734644,0.6544612794612794,0.53839590443686,0.57217125382263,0.10614101592115238,0.516179952644041,0.43467436765584544,0.4138005624053645
qwen2.5:72b,0.336,0.6093366093366094,0.835016835016835,0.7790102389078498,0.8483180428134557,0.824109173616376,0.35516969218626676,0.22156940848436565,0.5869204701132021
mistral:7b,0.006,0.04832104832104832,0.01893939393939394,0.01877133105802048,0.5944954128440367,0.01061410159211524,0.23993685872138912,0.04630551682931687,0.026389790179537097
mistral:24b,0.538,0.5765765765765766,0.8417508417508418,0.7431740614334471,0.7804281345565749,0.7543593631539045,0.5698500394632992,0.40061740689105757,0.5266421515610354
deepseek-r1:14b,0.5,0.457002457002457,0.5677609427609428,0.5,0.7920489296636085,0.5572403335860501,0.5516969218626677,0.3392750448117905,0.3671497584541063
deepseek-r1:70b,0.49,0.6109746109746109,0.7550505050505051,0.7491467576791809,0.8718654434250764,0.7642153146322972,0.5651144435674822,0.38109938259310894,0.5523830124738626
