Model,OBQA,CSQA,ARC-E,ARC-C,BoolQ,GSM8K-M,Winogrande,HellaSwag,MMLU
llama3.1:8b,0.658,0.015561015561015561,0.06060606060606061,0.051194539249146756,0.0,0.2577710386656558,0.004735595895816891,0.4073889663413663,0.25697598961713175
llama3.1:70b,0.012,0.003276003276003276,0.0016835016835016834,0.0008532423208191126,0.001834862385321101,0.06520090978013647,0.0,0.0014937263493328022,0.004686711370682817
llama3.2:3b,0.018,0.001638001638001638,0.0012626262626262627,0.0,0.0003058103975535168,0.46474601971190294,0.04104183109707971,0.018123879705238,0.03158122431321653
llama3.3:70b,0.01,0.015561015561015561,0.004208754208754209,0.002559726962457338,0.0,0.0576194086429113,0.0007892659826361484,0.0347540330611432,0.009373422741365635
qwen2.5:7b,0.0,0.0,0.0,0.0,0.0003058103975535168,0.03866565579984837,0.0,0.0,0.0
qwen2.5:72b,0.582,0.10155610155610155,0.11574074074074074,0.11006825938566553,0.0,0.03335860500379075,0.46250986582478293,0.6698864767974507,0.14391809070589084
mistral:7b,0.986,0.7878787878787878,0.9297138047138047,0.9291808873720137,0.023547400611620795,0.5610310841546626,0.5422257300710339,0.8145787691694881,0.9128992717571562
mistral:24b,0.172,0.003276003276003276,0.0,0.0,0.0003058103975535168,0.05079605761940864,0.0,0.36666002788289187,0.0003605162592832937
deepseek-r1:14b,0.244,0.16216216216216217,0.31397306397306396,0.3438566552901024,0.014984709480122324,0.15769522365428354,0.04577742699289661,0.27723561043616807,0.348402912971375
deepseek-r1:70b,0.416,0.11793611793611794,0.1856060606060606,0.1561433447098976,0.007339449541284404,0.07657316148597422,0.18389897395422258,0.3986257717586138,0.2556060278318552
