Model,OBQA,CSQA,ARC-E,ARC-C,BoolQ,GSM8K-M,Winogrande,HellaSwag,MMLU
llama3.1:8b,0.79,0.7346437346437347,0.8880471380471381,0.78839590443686,0.8085626911314985,0.11144806671721001,0.6164167324388319,0.7527384983071101,0.6474872016727955
llama3.1:70b,0.938,0.8157248157248157,0.9688552188552189,0.9343003412969283,0.882262996941896,0.9234268385140257,0.8050513022888713,0.8816968731328421,0.814262023217247
llama3.2:3b,0.73,0.7010647010647011,0.8320707070707071,0.7201365187713311,0.6691131498470948,0.5860500379075056,0.5351223362273086,0.5827524397530373,0.5665873530896244
llama3.3:70b,0.896,0.7706797706797707,0.9410774410774411,0.9155290102389079,0.8850152905198777,0.931008339651251,0.8042620363062352,0.7090221071499702,0.8021486769053284
qwen2.5:7b,0.874,0.8173628173628174,0.9166666666666666,0.8805460750853242,0.7862385321100918,0.8824867323730099,0.6787687450670876,0.8186616211909978,0.6895233975052275
qwen2.5:72b,0.96,0.8493038493038493,0.9688552188552189,0.9428327645051194,0.8932721712538226,0.909021986353298,0.8089976322020521,0.905098585939056,0.8172182565433701
mistral:7b,0.048,0.013923013923013924,0.05597643097643098,0.03754266211604096,0.7186544342507645,0.4162244124336619,0.011049723756906077,0.1616211909978092,0.06792126324897253
mistral:24b,0.9,0.8108108108108109,0.9372895622895623,0.9112627986348123,0.8165137614678899,0.7846853677028052,0.7726913970007893,0.8097988448516232,0.7539837046650804
deepseek-r1:14b,0.774,0.6445536445536445,0.7331649831649831,0.7226962457337884,0.8724770642201835,0.8589840788476119,0.7655880031570639,0.810794662417845,0.5706972384454538
deepseek-r1:70b,0.316,0.43243243243243246,0.2382154882154882,0.23122866894197952,0.8385321100917431,0.9226686884003032,0.6471981057616417,0.2733519219279028,0.22568317831134185
