Model,OBQA,CSQA,ARC-E,ARC-C,BoolQ,GSM8K-M,Winogrande,HellaSwag,MMLU
llama3.1:8b,0.0,0.000819000819000819,0.03998316498316498,0.015358361774744027,0.0,0.12130401819560273,0.0,0.0,0.00021630975556997622
llama3.1:70b,0.01,0.00819000819000819,0.013468013468013467,0.005119453924914676,0.0,0.021986353297952996,0.0015785319652722968,9.958175662218681e-05,0.0010094455259932224
llama3.2:3b,0.0,0.003276003276003276,0.041245791245791245,0.01877133105802048,0.0,0.07278241091736164,0.0,0.00039832702648874725,0.018458432475304636
llama3.3:70b,0.042,0.0647010647010647,0.04292929292929293,0.025597269624573378,0.0,0.021986353297952996,0.0,0.22326229834694283,0.009012906482082342
qwen2.5:7b,0.008,0.0,0.041245791245791245,0.017918088737201365,0.0,0.02047005307050796,0.0,0.0,0.0005768260148532699
qwen2.5:72b,0.008,0.0,0.01893939393939394,0.008532423208191127,0.0006116207951070336,0.04473085670962851,0.0,0.0,0.00043261951113995244
mistral:7b,0.914,0.9746109746109746,0.9377104377104377,0.9496587030716723,0.023241590214067277,0.21076573161485973,0.978689818468824,0.7219677355108544,0.8864373783257625
mistral:24b,0.0,0.001638001638001638,0.039141414141414144,0.01962457337883959,0.0,0.039423805913570885,0.0,0.1253734315873332,0.0
deepseek-r1:14b,0.19,0.19164619164619165,0.25042087542087543,0.2354948805460751,0.011314984709480122,0.039423805913570885,0.056037884767166535,0.006970722963553077,0.28199581801139234
deepseek-r1:70b,0.672,0.49385749385749383,0.7605218855218855,0.7568259385665529,0.0672782874617737,0.028051554207733132,0.24861878453038674,0.6688906592312288,0.7469175859831279
