dataset,avg_tokens_per_row,avg_bytes_per_token,avg_normalized_seq_len
arc-challenge-bn,690.3387372013652,2.1732875279184216,1.0
arc-challenge-en,124.1561433447099,4.706350581957593,1.0
arc-easy-bn,639.9936868686868,2.1721871073932744,1.0
arc-easy-en,114.68602693602693,4.708745594510948,1.0
boolq-bn,1114.6755351681957,2.2051252868723306,1.0
boolq-en,196.02354740061162,4.800881442216844,1.0
commonsenseqa-bn,577.8959868959869,2.1630080451918015,1.0
commonsenseqa-en,105.87796887796888,4.470809895406966,1.0
gsm8k-main-bn,943.8385140257772,2.168507231606912,1.0
gsm8k-main-en,169.69598180439726,4.797540482911509,1.0
hellaswag-bn,1358.8346496051186,2.194476497664909,1.0
hellaswag-en,255.65450364890532,4.5898834458409405,1.0
mmlu-bn,899.2377244213714,2.1806430221883257,1.0
mmlu-en,164.50097339390007,4.697096718109486,1.0
openbookqa-bn,549.11,2.161464464280649,1.0
openbookqa-en,98.784,4.615190978470429,1.0
piqa-bn,668.5214007782101,2.194410767080918,1.0
piqa-en,114.78891050583658,4.816839883499475,1.0
winogrande-bn,522.217883418223,2.2014581985121087,1.0
winogrande-en,86.9586870401811,4.980178910659151,1.0
