Model,Dataset,Language,Average Token Count Per Word,Average Bytes Per Token,Average Normalized Sequence Length
llama-3.1-70B,arc-challenge,bn,7.610169463730258,2.1732875279184216,1.0
llama-3.1-70B,arc-challenge,en,1.3075266892587765,4.706350581957593,1.0
llama-3.1-70B,arc-easy,bn,7.644050167274081,2.1721871073932744,1.0
llama-3.1-70B,arc-easy,en,1.3191812484954528,4.708745594510948,1.0
llama-3.1-70B,boolq,bn,8.149482141237996,2.2051252868723306,1.0
llama-3.1-70B,boolq,en,1.320716970537113,4.800881442216844,1.0
llama-3.1-70B,commonsenseqa,bn,7.421122689847652,2.1630080451918015,1.0
llama-3.1-70B,commonsenseqa,en,1.377305942790858,4.470809895406966,1.0
llama-3.1-70B,gsm8k-main,bn,7.758227981467476,2.168507231606912,1.0
llama-3.1-70B,gsm8k-main,en,1.3580872926682583,4.797540482911509,1.0
llama-3.1-70B,hellaswag,bn,7.374476217855917,2.194476497664909,1.0
llama-3.1-70B,hellaswag,en,1.263423720887238,4.5898834458409405,1.0
llama-3.1-70B,mmlu,bn,7.71755900379726,2.1806430221883257,1.0
llama-3.1-70B,mmlu,en,1.3349567163551943,4.697096718109486,1.0
llama-3.1-70B,openbookqa,bn,7.515764460859373,2.161464464280649,1.0
llama-3.1-70B,openbookqa,en,1.330290649315685,4.615190978470429,1.0
llama-3.1-70B,piqa,bn,7.603853684182244,2.194410767080918,1.0
llama-3.1-70B,piqa,en,1.258475434694787,4.816839883499475,1.0
llama-3.1-70B,winogrande,bn,7.6562421599107235,2.2014581985121087,1.0
llama-3.1-70B,winogrande,en,1.2566412097055986,4.980178910659151,1.0
llama-3.3-70B,arc-challenge,bn,7.610169463730258,2.1732875279184216,1.0
llama-3.3-70B,arc-challenge,en,1.3075266892587765,4.706350581957593,1.0
llama-3.3-70B,arc-easy,bn,7.644050167274081,2.1721871073932744,1.0
llama-3.3-70B,arc-easy,en,1.3191812484954528,4.708745594510948,1.0
llama-3.3-70B,boolq,bn,8.149482141237996,2.2051252868723306,1.0
llama-3.3-70B,boolq,en,1.320716970537113,4.800881442216844,1.0
llama-3.3-70B,commonsenseqa,bn,7.421122689847652,2.1630080451918015,1.0
llama-3.3-70B,commonsenseqa,en,1.377305942790858,4.470809895406966,1.0
llama-3.3-70B,gsm8k-main,bn,7.758227981467476,2.168507231606912,1.0
llama-3.3-70B,gsm8k-main,en,1.3580872926682583,4.797540482911509,1.0
llama-3.3-70B,hellaswag,bn,7.374476217855917,2.194476497664909,1.0
llama-3.3-70B,hellaswag,en,1.263423720887238,4.5898834458409405,1.0
llama-3.3-70B,mmlu,bn,7.71755900379726,2.1806430221883257,1.0
llama-3.3-70B,mmlu,en,1.3349567163551943,4.697096718109486,1.0
llama-3.3-70B,openbookqa,bn,7.515764460859373,2.161464464280649,1.0
llama-3.3-70B,openbookqa,en,1.330290649315685,4.615190978470429,1.0
llama-3.3-70B,piqa,bn,7.603853684182244,2.194410767080918,1.0
llama-3.3-70B,piqa,en,1.258475434694787,4.816839883499475,1.0
llama-3.3-70B,winogrande,bn,7.6562421599107235,2.2014581985121087,1.0
llama-3.3-70B,winogrande,en,1.2566412097055986,4.980178910659151,1.0
qwen2.5-72B,arc-challenge,bn,6.6403494804367735,2.49041256490061,0.8726693206510496
qwen2.5-72B,arc-challenge,en,1.300964813731512,4.732854760017065,0.994802261658134
qwen2.5-72B,arc-easy,bn,6.664951815531119,2.4911327095448854,0.8719646261191714
qwen2.5-72B,arc-easy,en,1.309194520565974,4.7452219323509235,0.9924124272799232
qwen2.5-72B,boolq,bn,7.127091177332338,2.5212562077793685,0.8746610383725253
qwen2.5-72B,boolq,en,1.3415016370902724,4.735344820786077,1.0152498515448023
