dataset,avg_tokens_per_word,avg_bytes_per_token,avg_normalized_seq_len
arc-challenge-bn,6.651751269446558,2.486135987749404,0.8741705439894154
arc-challenge-en,1.3118721510376028,4.693615930454823,1.0031189359509467
arc-easy-bn,6.6772422677517955,2.486538903245868,0.8735754227521133
arc-easy-en,1.321049332590019,4.7028160636239384,1.0013696323703996
boolq-bn,7.135131960561515,2.5184095395624775,0.8756474731116191
boolq-en,1.3489602912673488,4.708834143319764,1.0209069705611682
commonsenseqa-bn,6.494881896534277,2.471356937410436,0.8752331604886294
commonsenseqa-en,1.3775159348971746,4.47017069145515,1.000149186519968
gsm8k-main-bn,6.86017097531569,2.4522001693038202,0.88430855942886
gsm8k-main-en,1.4092318581853198,4.624546955538158,1.0375571788433213
hellaswag-bn,6.489155355420204,2.493549958805415,0.8800714962630519
hellaswag-en,1.265868403546946,4.581753036015297,1.00186728591643
mmlu-bn,6.762426821932418,2.4881140554612458,0.8764927986585852
mmlu-en,1.3499743476495027,4.6544022243030465,1.0105660928429434
openbookqa-bn,6.5405474483338395,2.4836093708368696,0.8702902169155479
openbookqa-en,1.3312070719938174,4.6123594128729914,1.0006685384044565
piqa-bn,6.662939020507377,2.5038195853397047,0.8764411297610758
piqa-en,1.2607494064155158,4.809276219376783,1.0017292451097988
winogrande-bn,6.692354575004139,2.518408028207837,0.8741401918323526
winogrande-en,1.2567634364274936,4.979743201881736,1.0000934334390383
