dataset,avg_tokens_per_word,avg_bytes_per_token,avg_normalized_seq_len
arc-challenge-bn,7.610169463730258,2.1732875279184216,1.0
arc-challenge-en,1.3075266892587765,4.706350581957593,1.0
arc-easy-bn,7.644050167274081,2.1721871073932744,1.0
arc-easy-en,1.3191812484954528,4.708745594510948,1.0
boolq-bn,8.149482141237996,2.2051252868723306,1.0
boolq-en,1.320716970537113,4.800881442216844,1.0
commonsenseqa-bn,7.421122689847652,2.1630080451918015,1.0
commonsenseqa-en,1.377305942790858,4.470809895406966,1.0
gsm8k-main-bn,7.758227981467476,2.168507231606912,1.0
gsm8k-main-en,1.3580872926682583,4.797540482911509,1.0
hellaswag-bn,7.374476217855917,2.194476497664909,1.0
hellaswag-en,1.2634237208872379,4.5898834458409405,1.0
mmlu-bn,7.71755900379726,2.1806430221883257,1.0
mmlu-en,1.3349567163551945,4.697096718109486,1.0
openbookqa-bn,7.515764460859373,2.161464464280649,1.0
openbookqa-en,1.330290649315685,4.615190978470429,1.0
piqa-bn,7.603853684182244,2.194410767080918,1.0
piqa-en,1.258475434694787,4.816839883499475,1.0
winogrande-bn,7.6562421599107235,2.2014581985121087,1.0
winogrande-en,1.2566412097055986,4.980178910659151,1.0
